timestamp,cadence,power,SmO2,Duration (sec),SmO2_accel,SmO2_jerk,M_bal
1900-01-01 07:30:05,14,92,38,0.0,0.0,0.0,44.6384
1900-01-01 07:30:06,29,61,37,1.0,-1.0,-1.0,42.96781
1900-01-01 07:30:07,38,47,32,2.0,-5.0,-4.0,37.29722
1900-01-01 07:30:08,43,14,27,3.0,-5.0,0.0,31.626630000000002
1900-01-01 07:30:09,48,42,27,4.0,0.0,5.0,30.95604
1900-01-01 07:30:10,54,53,28,5.0,1.0,1.0,31.001571937944234
1900-01-01 07:30:11,60,56,31,6.0,3.0,2.0,31.04695235543637
1900-01-01 07:30:12,35,82,32,7.0,1.0,-2.0,31.092181756703738
1900-01-01 07:30:13,38,113,29,8.0,-3.0,-4.0,27.421591756703737
1900-01-01 07:30:14,40,130,26,9.0,-3.0,0.0,23.751001756703737
1900-01-01 07:30:15,44,141,27,10.0,1.0,4.0,23.820510505240556
1900-01-01 07:30:16,47,146,30,11.0,3.0,2.0,23.889787943679924
1900-01-01 07:30:17,50,128,33,12.0,3.0,0.0,23.95883484177187
1900-01-01 07:30:18,52,96,33,13.0,0.0,-3.0,23.28824484177187
1900-01-01 07:30:19,53,97,30,14.0,-3.0,-3.0,19.61765484177187
1900-01-01 07:30:20,56,103,27,15.0,-3.0,0.0,15.94706484177187
1900-01-01 07:30:21,56,102,26,16.0,-1.0,2.0,14.276474841771869
1900-01-01 07:30:22,57,98,29,17.0,3.0,4.0,14.377512768867186
1900-01-01 07:30:23,58,104,32,18.0,3.0,0.0,14.478214463570831
1900-01-01 07:30:24,58,94,32,19.0,0.0,-3.0,13.80762446357083
1900-01-01 07:30:25,59,81,31,20.0,-1.0,-1.0,12.13703446357083
1900-01-01 07:30:26,58,94,30,21.0,-1.0,0.0,10.466444463570829
1900-01-01 07:30:27,58,99,30,22.0,0.0,1.0,9.795854463570828
1900-01-01 07:30:28,59,109,31,23.0,1.0,1.0,9.9118029272265
1900-01-01 07:30:29,59,116,35,24.0,4.0,3.0,10.027365539446315
1900-01-01 07:30:30,60,133,36,25.0,1.0,-3.0,10.142543584260487
1900-01-01 07:30:31,60,121,34,26.0,-2.0,-3.0,7.471953584260487
1900-01-01 07:30:32,62,116,32,27.0,-2.0,0.0,4.801363584260487
1900-01-01 07:30:33,63,143,30,28.0,-2.0,0.0,2.1307735842604876
1900-01-01 07:30:34,64,167,32,29.0,2.0,4.0,2.2722297810071077
1900-01-01 07:30:35,65,128,35,30.0,3.0,1.0,2.4132152420932065
1900-01-01 07:30:36,64,113,37,31.0,2.0,-1.0,2.5537315340253572
1900-01-01 07:30:37,65,123,34,32.0,-3.0,-5.0,0.0
1900-01-01 07:30:38,65,124,32,33.0,-2.0,1.0,0.0
1900-01-01 07:30:39,66,127,30,34.0,-2.0,0.0,0.0
1900-01-01 07:30:40,65,121,33,35.0,3.0,5.0,0.14854695087176825
1900-01-01 07:30:41,64,110,35,36.0,2.0,-1.0,0.2965995695852759
1900-01-01 07:30:42,66,128,36,37.0,1.0,-1.0,0.44415950117114295
1900-01-01 07:30:43,66,140,33,38.0,-3.0,-4.0,0.0
1900-01-01 07:30:44,67,160,31,39.0,-2.0,1.0,0.0
1900-01-01 07:30:45,68,162,31,40.0,0.0,2.0,0.0
1900-01-01 07:30:46,68,139,33,41.0,2.0,2.0,0.14854695087176825
1900-01-01 07:30:47,69,107,36,42.0,3.0,1.0,0.2965995695852759
1900-01-01 07:30:48,69,130,37,43.0,1.0,-2.0,0.44415950117114295
1900-01-01 07:30:49,69,137,34,44.0,-3.0,-4.0,0.0
1900-01-01 07:30:50,69,153,33,45.0,-1.0,2.0,0.0
1900-01-01 07:30:51,68,106,33,46.0,0.0,1.0,0.0
1900-01-01 07:30:52,67,226,35,47.0,2.0,2.0,0.14854695087176825
1900-01-01 07:30:53,68,212,38,48.0,3.0,1.0,0.2965995695852759
1900-01-01 07:30:54,66,148,36,49.0,-2.0,-5.0,0.0
1900-01-01 07:30:55,66,144,32,50.0,-4.0,-2.0,0.0
1900-01-01 07:30:56,66,176,29,51.0,-3.0,1.0,0.0
1900-01-01 07:30:57,67,174,31,52.0,2.0,5.0,0.14854695087176825
1900-01-01 07:30:58,67,154,34,53.0,3.0,1.0,0.2965995695852759
1900-01-01 07:30:59,68,160,37,54.0,3.0,0.0,0.44415950117114295
1900-01-01 07:31:00,68,146,36,55.0,-1.0,-4.0,0.0
1900-01-01 07:31:01,67,145,34,56.0,-2.0,-1.0,0.0
1900-01-01 07:31:02,68,159,31,57.0,-3.0,-1.0,0.0
1900-01-01 07:31:03,68,153,33,58.0,2.0,5.0,0.14854695087176825
1900-01-01 07:31:04,68,190,35,59.0,2.0,0.0,0.2965995695852759
1900-01-01 07:31:05,68,184,37,60.0,2.0,0.0,0.44415950117114295
1900-01-01 07:31:06,67,155,35,61.0,-2.0,-4.0,0.0
1900-01-01 07:31:07,69,164,32,62.0,-3.0,-1.0,0.0
1900-01-01 07:31:08,69,164,29,63.0,-3.0,0.0,0.0
1900-01-01 07:31:09,69,160,30,64.0,1.0,4.0,0.14854695087176825
1900-01-01 07:31:10,69,148,35,65.0,5.0,4.0,0.2965995695852759
1900-01-01 07:31:11,68,145,37,66.0,2.0,-3.0,0.44415950117114295
1900-01-01 07:31:12,69,170,37,67.0,0.0,-2.0,0.0
1900-01-01 07:31:13,69,155,35,68.0,-2.0,-2.0,0.0
1900-01-01 07:31:14,69,168,32,69.0,-3.0,-1.0,0.0
1900-01-01 07:31:15,69,189,32,70.0,0.0,3.0,0.0
1900-01-01 07:31:16,69,184,34,71.0,2.0,2.0,0.14854695087176825
1900-01-01 07:31:17,70,171,37,72.0,3.0,1.0,0.2965995695852759
1900-01-01 07:31:18,70,173,36,73.0,-1.0,-4.0,0.0
1900-01-01 07:31:19,70,171,32,74.0,-4.0,-3.0,0.0
1900-01-01 07:31:20,70,146,28,75.0,-4.0,0.0,0.0
1900-01-01 07:31:21,69,139,30,76.0,2.0,6.0,0.14854695087176825
1900-01-01 07:31:22,70,175,33,77.0,3.0,1.0,0.2965995695852759
1900-01-01 07:31:23,70,153,35,78.0,2.0,-1.0,0.44415950117114295
1900-01-01 07:31:24,70,171,34,79.0,-1.0,-3.0,0.0
1900-01-01 07:31:25,70,156,33,80.0,-1.0,0.0,0.0
1900-01-01 07:31:26,69,168,31,81.0,-2.0,-1.0,0.0
1900-01-01 07:31:27,70,179,34,82.0,3.0,5.0,0.14854695087176825
1900-01-01 07:31:28,70,169,37,83.0,3.0,0.0,0.2965995695852759
1900-01-01 07:31:29,70,164,37,84.0,0.0,-3.0,0.0
1900-01-01 07:31:30,70,179,35,85.0,-2.0,-2.0,0.0
1900-01-01 07:31:31,69,153,31,86.0,-4.0,-2.0,0.0
1900-01-01 07:31:32,70,162,29,87.0,-2.0,2.0,0.0
1900-01-01 07:31:33,70,167,32,88.0,3.0,5.0,0.14854695087176825
1900-01-01 07:31:34,70,178,36,89.0,4.0,1.0,0.2965995695852759
1900-01-01 07:31:35,70,153,37,90.0,1.0,-3.0,0.44415950117114295
1900-01-01 07:31:36,69,172,36,91.0,-1.0,-2.0,0.0
1900-01-01 07:31:37,70,174,34,92.0,-2.0,-1.0,0.0
1900-01-01 07:31:38,70,166,34,93.0,0.0,2.0,0.0
1900-01-01 07:31:39,70,179,37,94.0,3.0,3.0,0.14854695087176825
1900-01-01 07:31:40,70,178,39,95.0,2.0,-1.0,0.2965995695852759
1900-01-01 07:31:41,69,181,39,96.0,0.0,-2.0,0.0
1900-01-01 07:31:42,71,193,35,97.0,-4.0,-4.0,0.0
